x,y,Name,area_m
3.5,-52.5,4,7556565504
4.5,-52.5,4,7556565504
5.5,-52.5,4,7556565504
6.5,-52.5,4,7556565504
7.5,-52.5,4,7556565504
8.5,-52.5,4,7556565504
9.5,-52.5,4,7556565504
10.5,-52.5,4,7556565504
11.5,-52.5,4,7556565504
12.5,-52.5,4,7556565504
13.5,-52.5,4,7556565504
14.5,-52.5,4,7556565504
15.5,-52.5,4,7556565504
16.5,-52.5,4,7556565504
17.5,-52.5,4,7556565504
18.5,-52.5,4,7556565504
19.5,-52.5,4,7556565504
20.5,-52.5,4,7556565504
21.5,-52.5,4,7556565504
22.5,-52.5,4,7556565504
23.5,-52.5,4,7556565504
24.5,-52.5,4,7556565504
25.5,-52.5,4,7556565504
26.5,-52.5,4,7556565504
27.5,-52.5,4,7556565504
28.5,-52.5,4,7556565504
29.5,-52.5,4,7556565504
30.5,-52.5,5,7556565504
31.5,-52.5,5,7556565504
32.5,-52.5,5,7556565504
33.5,-52.5,5,7556565504
34.5,-52.5,5,7556565504
35.5,-52.5,5,7556565504
36.5,-52.5,5,7556565504
37.5,-52.5,5,7556565504
38.5,-52.5,5,7556565504
39.5,-52.5,5,7556565504
40.5,-52.5,5,7556565504
41.5,-52.5,5,7556565504
42.5,-52.5,5,7556565504
43.5,-52.5,5,7556565504
44.5,-52.5,5,7556565504
45.5,-52.5,5,7556565504
46.5,-52.5,5,7556565504
47.5,-52.5,5,7556565504
48.5,-52.5,5,7556565504
49.5,-52.5,5,7556565504
50.5,-52.5,5,7556565504
51.5,-52.5,5,7556565504
52.5,-52.5,5,7556565504
53.5,-52.5,5,7556565504
54.5,-52.5,5,7556565504
55.5,-52.5,5,7556565504
56.5,-52.5,5,7556565504
57.5,-52.5,5,7556565504
58.5,-52.5,5,7556565504
59.5,-52.5,5,7556565504
60.5,-52.5,6,7556565504
61.5,-52.5,6,7556565504
62.5,-52.5,6,7556565504
63.5,-52.5,6,7556565504
64.5,-52.5,6,7556565504
65.5,-52.5,6,7556565504
66.5,-52.5,6,7556565504
67.5,-52.5,6,7556565504
68.5,-52.5,6,7556565504
69.5,-52.5,6,7556565504
70.5,-52.5,6,7556565504
71.5,-52.5,6,7556565504
72.5,-52.5,6,7556565504
73.5,-52.5,6,7556565504
74.5,-52.5,6,7556565504
75.5,-52.5,6,7556565504
76.5,-52.5,6,7556565504
77.5,-52.5,6,7556565504
78.5,-52.5,6,7556565504
79.5,-52.5,6,7556565504
80.5,-52.5,6,7556565504
-49.5,-53.5,2,7385201152
-48.5,-53.5,2,7385201152
-47.5,-53.5,2,7385201152
-46.5,-53.5,2,7385201152
-45.5,-53.5,2,7385201152
-44.5,-53.5,2,7385201152
-43.5,-53.5,2,7385201152
-42.5,-53.5,2,7385201152
-41.5,-53.5,2,7385201152
-40.5,-53.5,2,7385201152
-39.5,-53.5,2,7385201152
-38.5,-53.5,2,7385201152
-37.5,-53.5,2,7385201152
-36.5,-53.5,2,7385201152
-35.5,-53.5,2,7385201152
-34.5,-53.5,2,7385201152
-33.5,-53.5,2,7385201152
-32.5,-53.5,2,7385201152
-31.5,-53.5,2,7385201152
-30.5,-53.5,2,7385201152
-29.5,-53.5,2,7385201152
-28.5,-53.5,2,7385201152
-27.5,-53.5,2,7385201152
-26.5,-53.5,2,7385201152
-25.5,-53.5,2,7385201152
-24.5,-53.5,2,7385201152
-23.5,-53.5,2,7385201152
-22.5,-53.5,2,7385201152
-21.5,-53.5,2,7385201152
-20.5,-53.5,2,7385201152
-19.5,-53.5,4,7385201152
-18.5,-53.5,4,7385201152
-17.5,-53.5,4,7385201152
-16.5,-53.5,4,7385201152
-15.5,-53.5,4,7385201152
-14.5,-53.5,4,7385201152
-13.5,-53.5,4,7385201152
-12.5,-53.5,4,7385201152
-11.5,-53.5,4,7385201152
-10.5,-53.5,4,7385201152
-9.5,-53.5,4,7385201152
-8.5,-53.5,4,7385201152
-7.5,-53.5,4,7385201152
-6.5,-53.5,4,7385201152
-5.5,-53.5,4,7385201152
-4.5,-53.5,4,7385201152
-3.5,-53.5,4,7385201152
-2.5,-53.5,4,7385201152
-1.5,-53.5,4,7385201152
-0.5,-53.5,4,7385201152
0.5,-53.5,4,7385201152
1.5,-53.5,4,7385201152
2.5,-53.5,4,7385201152
3.5,-53.5,4,7385201152
4.5,-53.5,4,7385201152
5.5,-53.5,4,7385201152
6.5,-53.5,4,7385201152
7.5,-53.5,4,7385201152
8.5,-53.5,4,7385201152
9.5,-53.5,4,7385201152
10.5,-53.5,4,7385201152
11.5,-53.5,4,7385201152
12.5,-53.5,4,7385201152
13.5,-53.5,4,7385201152
14.5,-53.5,4,7385201152
15.5,-53.5,4,7385201152
16.5,-53.5,4,7385201152
17.5,-53.5,4,7385201152
18.5,-53.5,4,7385201152
19.5,-53.5,4,7385201152
20.5,-53.5,4,7385201152
